kernel,parameter,pipelineWidth,robSize,branchPredictor,l1Size,l1Associativity,l1ReplacementPolicy,l1Prefetcher,l2Size,l2Associativity,l2ReplacementPolicy,l2Prefetcher,ipc,cpi,simSeconds,numInstructions,numCycles,branchLookups,branchMispredicted,branchMispredictionRate,l1iAccesses,l1iMisses,l1iHitRate,l1iAvgMissLatency,l1iAMATCycles,icacheStallCycles,l1dAccesses,l1dHits,l1dMisses,l1dHitRate,l1dAMATCycles,l2Accesses,l2Misses,l2HitRate,l2AvgMissLatency,l2AMATCycles,l2MPKI,dramReadAccesses,dramWriteAccesses,memAvgLat,commitSquashedInsts,memOrderViolations,dispatchRenameStalls,dispatchIssueStalls,iqFullEvents,dramTotalEnergy,dramAveragePower
compute,pred_tage,4,192,tage,32KiB,4,None,None,256KiB,8,None,None,2.285301,0.437579,0.004596,33613812.0,14682726.0,1048728.0,2.0,1.9070721864964033e-06,4195011.0,3.0,0.9999992848648073,48097.666667,1.0000302736750868,105.0,21683695.0,21683695.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3647.0,190.0,336.0,336.0,0.0,2140216185.0,465.700401
compute,pw_12,12,192,tournament,32KiB,4,None,None,256KiB,8,None,None,3.198729,0.312624,0.003283,33613812.0,10489930.0,1049060.0,3.0,2.8597029721846224e-06,4196444.0,3.0,0.9999992851090114,32552.0,1.0000357445494314,141.0,13600871.0,13600871.0,0.0,1.0,1.0,3.0,2.0,0.33333333333333337,45698.0,50.0,5.94993510405782e-05,1.0,0.0,18750.0,8072.0,329.0,4184597.0,867.0,0.0,1531038885.0,466.304164
compute,pw_8,8,192,tournament,32KiB,4,None,None,256KiB,8,None,None,3.198648,0.312632,0.003283,33613812.0,10490195.0,1049022.0,4.0,3.8130754169121335e-06,4196404.0,5.0,0.9999988085036617,30674.0,1.0000632808471235,267.0,12587274.0,12587274.0,0.0,1.0,1.0,3.0,2.0,0.33333333333333337,70738.0,53.1104,5.94993510405782e-05,3.0,0.0,20208.0,11784.0,392.0,1331.0,1333.0,0.0,1531410510.0,466.405566
compute,rob_128,4,128,tournament,32KiB,4,None,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686530.0,21686530.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3682.0,191.0,340.0,340.0,0.0,2140738155.0,465.813186
compute,rob_256,4,256,tournament,32KiB,4,None,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682750.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21643811.0,21643811.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3678.0,191.0,340.0,340.0,0.0,2140461555.0,465.753031
compute,rob_64,4,64,tournament,32KiB,4,None,None,256KiB,8,None,None,2.285297,0.43758,0.004596,33613812.0,14682751.0,1048734.0,3.0,2.8605919136787783e-06,4195018.0,2.0,0.9999995232440004,74337.5,1.0000201824163786,100.0,21686535.0,21686535.0,0.0,1.0,1.0,2.0,1.0,0.5,141476.0,42.3328,2.97496755202891e-05,3.0,0.0,20208.0,3685.0,191.0,340.0,340.0,0.0,2140727115.0,465.810784
pointer,baseline,4,192,tournament,32KiB,4,None,None,256KiB,8,None,None,0.155842,6.416746,0.004212,16249631.0,13457194.0,262381.0,10.0,3.81125157690534e-05,524622.0,2.0,0.999996187731357,,1.0006020586642026,200.0,1573032.0,1507445.0,65587.0,0.9583053618743929,7.584692865356381,131081.0,131016.0,0.0004958765953876343,53867.678329,157.92661026388262,8.062706162373779,131081.0,4125.0,46250.0,1361.0,37.0,10244628.0,156.0,0.0,2646367380.0,628.277177
pointer,l1a_2,4,192,tournament,32KiB,2,None,None,256KiB,8,None,None,0.156015,6.409654,0.004207,16249631.0,13442319.0,262382.0,10.0,3.811237051322118e-05,524628.0,2.0,0.9999961877749567,,1.0006598400606355,245.0,1573034.0,1507439.0,65595.0,0.9583003291727961,8.217599437209552,131080.0,130993.0,0.0006637168141593319,53739.939569,173.0852856637168,8.061290745617546,131081.0,4103.0,50998.0,1364.0,37.0,10229682.0,156.0,0.0,2643246975.0,628.230777
pointer,l1a_8,4,192,tournament,32KiB,8,None,None,256KiB,8,None,None,0.155749,6.420601,0.004215,16249631.0,13465279.0,262373.0,10.0,3.8113677855572026e-05,524612.0,2.0,0.9999961876586887,,1.000602121795137,205.0,1573012.0,1507432.0,65580.0,0.9583092818109461,7.5846386843992315,131082.0,131029.0,0.00040432706244941663,53778.387212,157.9401595947575,8.063506180540346,131083.0,4138.0,46250.0,1299.0,37.0,10252268.0,149.0,0.0,2648805105.0,628.478334
pointer,l1p_stride,4,192,tournament,32KiB,4,None,stride,256KiB,8,None,None,0.155842,6.416746,0.004212,16249631.0,13457194.0,262381.0,10.0,3.81125157690534e-05,524622.0,2.0,0.999996187731357,,1.0006020586642026,200.0,1573032.0,1507445.0,65587.0,0.9583053618743929,7.584692865356381,131081.0,131016.0,0.0004958765953876343,53867.678329,157.92661026388262,8.062706162373779,131081.0,4125.0,46250.0,1361.0,37.0,10244628.0,156.0,0.0,2646367380.0,628.277177
pointer,l1p_tagged,4,192,tournament,32KiB,4,None,tagged,256KiB,8,None,None,0.242683,4.120609,0.002705,16249631.0,8641737.0,262325.0,9.0,3.4308586676832173e-05,524592.0,2.0,0.9999961875133437,,1.0007320609404111,221.0,1572996.0,1515570.0,57426.0,0.9634925962939511,8.0100295944947,131095.0,80388.0,0.38679583508142945,61565.613661,192.01665642778138,4.947066182610547,131099.0,4124.0,92759.0,1157.0,37.0,5470416.0,138.0,0.0,1895980680.0,700.952397
pointer,l1rp_lru,4,192,tournament,32KiB,4,lru,None,256KiB,8,None,None,0.155984,6.410923,0.004208,16249631.0,13444981.0,262371.0,10.0,3.811396838827462e-05,524606.0,2.0,0.9999961876150864,,1.000660071829801,245.0,1573014.0,1507436.0,65578.0,0.9583106062628813,8.218052486998426,131082.0,131038.0,0.0003356677499580796,53672.193142,173.13882117148046,8.064060039271046,131083.0,4103.0,50998.0,1276.0,37.0,10232390.0,147.0,0.0,2644453920.0,628.393195
pointer,l1rp_plru,4,192,tournament,32KiB,4,plru,None,256KiB,8,None,None,0.155842,6.416746,0.004212,16249631.0,13457194.0,262381.0,10.0,3.81125157690534e-05,524622.0,2.0,0.999996187731357,,1.0006020586642026,200.0,1573032.0,1507445.0,65587.0,0.9583053618743929,7.584692865356381,131081.0,131016.0,0.0004958765953876343,53867.678329,157.92661026388262,8.062706162373779,131081.0,4125.0,46250.0,1361.0,37.0,10244628.0,156.0,0.0,2646367380.0,628.277177
pointer,l1rp_random,4,192,tournament,32KiB,4,random,None,256KiB,8,None,None,0.156254,6.39985,0.004201,16249631.0,13421759.0,262387.0,10.0,3.8111644250667905e-05,524634.0,2.0,0.9999961878185554,,1.000656998471112,243.0,1573032.0,1506912.0,66120.0,0.957966525792228,8.244127461178103,131439.0,130753.0,0.005219151089098317,54364.529517,172.34186794482613,8.046521179465552,131095.0,4093.0,50998.0,1439.0,38.0,10207599.0,167.0,0.0,2645554875.0,629.742495
pointer,l1s_16KiB,4,192,tournament,16KiB,4,None,None,256KiB,8,None,None,0.155856,6.416196,0.004212,16249631.0,13456040.0,262388.0,10.0,3.811149900147872e-05,524636.0,2.0,0.9999961878330881,,1.0004921297239642,200.0,1573029.0,1507423.0,65606.0,0.9582932037489456,6.384117380139177,131081.0,130972.0,0.0008315469061115355,53741.441659,129.0944849306917,8.059998408579247,131082.0,4124.0,37248.0,1440.0,39.0,10242634.0,167.0,0.0,2646177630.0,628.286006
pointer,l1s_64KiB,4,192,tournament,64KiB,4,None,None,256KiB,8,None,None,0.155848,6.416526,0.004212,16249631.0,13456732.0,262393.0,10.0,3.81107727721395e-05,524650.0,2.0,0.9999961879348137,,1.0006021255272612,203.0,1573013.0,1507456.0,65557.0,0.9583239299357348,7.582842746723967,131081.0,131039.0,0.0003204125693273552,54354.758812,157.95257893973954,8.064121579130012,131081.0,4112.0,46250.0,1490.0,38.0,10243798.0,171.0,0.0,2644882710.0,627.946258
pointer,l2a_16,4,192,tournament,32KiB,4,None,None,256KiB,16,None,None,0.155925,6.413346,0.00421,16249631.0,13450063.0,262394.0,10.0,3.8110627529592904e-05,524652.0,2.0,0.9999961879493454,,1.0000381205065458,66.0,1573036.0,1507440.0,65596.0,0.9582997464775123,1.4170025352248774,131080.0,131014.0,0.0005035093072932595,53736.189858,10.0,8.062583082655847,131080.0,4125.0,0.0,1467.0,37.0,10237118.0,168.0,0.0,2646507585.0,628.643583
pointer,l2a_32,4,192,tournament,32KiB,4,None,None,256KiB,32,None,None,0.155957,6.412033,0.004209,16249631.0,13447309.0,262383.0,10.0,3.8112225258496166e-05,524628.0,2.0,0.9999961877749567,,1.0006019872144551,201.0,1573034.0,1507459.0,65575.0,0.9583130434561491,7.582773725017318,131081.0,131001.0,0.0006103096558616183,53733.52779,157.90967417093248,8.06178306448928,131082.0,4126.0,46250.0,1364.0,37.0,10234816.0,156.0,0.0,2641834530.0,627.662078
pointer,l2p_ampm,4,192,tournament,32KiB,4,None,None,256KiB,8,None,ampm,0.207881,4.810448,0.003158,16249631.0,10088466.0,262364.0,9.0,3.430348675885411e-05,524639.0,3.0,0.9999942817823303,,1.0007112704051815,199.0,1573013.0,1510067.0,62946.0,0.9599838017867621,5.977484097493612,131098.0,100651.0,0.23224610596652884,62260.702954,124.38673136737403,6.194048344851646,131109.0,4121.0,46559.0,1375.0,38.0,6888979.0,158.0,0.0,2122071915.0,672.03304
pointer,l2p_signature,4,192,tournament,32KiB,4,None,None,256KiB,8,None,signature,0.24054,4.157306,0.002729,16249631.0,8718699.0,262373.0,10.0,3.8113677855572026e-05,524626.0,2.0,0.9999961877604236,,1.0004075798951033,249.0,1573029.0,1504847.0,68182.0,0.956655598847828,5.634101850395793,131100.0,78993.0,0.39745995423340963,64429.201967,106.91350502517162,4.861218079352079,131114.0,4124.0,50263.0,1368.0,38.0,5493426.0,158.0,0.0,1907266095.0,698.900364
pointer,l2p_stride,4,192,tournament,32KiB,4,None,None,256KiB,8,None,stride,0.155842,6.416746,0.004212,16249631.0,13457194.0,262381.0,10.0,3.81125157690534e-05,524622.0,2.0,0.999996187731357,,1.0006020586642026,200.0,1573032.0,1507445.0,65587.0,0.9583053618743929,7.584692865356381,131081.0,131016.0,0.0004958765953876343,53867.678329,157.92661026388262,8.062706162373779,131081.0,4125.0,46250.0,1361.0,37.0,10244628.0,156.0,0.0,2646367380.0,628.277177
pointer,l2p_tagged,4,192,tournament,32KiB,4,None,None,256KiB,8,None,tagged,0.242173,4.129288,0.002711,16249631.0,8659938.0,262337.0,9.0,3.4307017309796177e-05,524605.0,3.0,0.9999942814117289,,1.000800313138934,277.0,1573017.0,1505453.0,67564.0,0.9570481437899272,7.0110875685865,131114.0,72632.0,0.4460393245572555,75589.464809,139.94942475098009,4.469763036465259,131157.0,4123.0,73307.0,1201.0,37.0,5437741.0,144.0,0.0,1903529775.0,702.26424
pointer,l2s_1MB,4,192,tournament,32KiB,4,None,None,1MB,8,None,None,0.152599,6.553108,0.004302,16249631.0,13743171.0,262381.0,10.0,3.81125157690534e-05,524622.0,2.0,0.999996187731357,,1.0006021748798397,199.0,1573017.0,1507434.0,65583.0,0.9583075071661654,7.585625047333159,131080.0,131042.0,0.00028989929813849624,54505.574198,157.95709490387551,8.064306198706912,131080.0,16413.0,46250.0,1381.0,38.0,10530593.0,160.0,0.0,2727819840.0,634.138901
pointer,l2s_4MB,4,192,tournament,32KiB,4,None,None,4MB,8,None,None,0.561379,1.781329,0.001169,16249631.0,3735802.0,262305.0,9.0,3.43112026076514e-05,524547.0,2.0,0.9999961871862769,,1.0000381372123115,18.0,1573000.0,1507440.0,65560.0,0.9583216783216784,1.416882417573272,131084.0,3.0,0.9999771139116902,19823.333333,10.00238015318422,0.00018461957689993084,2.0,0.0,32500.0,1072.0,33.0,524280.0,120.0,0.0,545466195.0,466.487115
pointer,pred_bimodal,4,192,bimodal,32KiB,4,None,None,256KiB,8,None,None,0.155769,6.419746,0.004214,16249631.0,13463484.0,262905.0,88.0,0.0003347216675224891,525091.0,20.0,0.999961911363935,74760.05,1.0067610731646586,389.0,1573249.0,1507641.0,65608.0,0.9582977646895056,8.402519312655437,131109.0,131092.0,0.00012966310474493703,53735.196366,177.50893345500307,8.067383191655244,131110.0,4124.0,52353.33,3681.0,49.0,10249693.0,565.0,0.0,2645738085.0,627.834321
pointer,pred_local,4,192,local,32KiB,4,None,None,256KiB,8,None,None,0.155976,6.411234,0.004208,16249631.0,13445633.0,262356.0,14.0,5.336260653463233e-05,524635.0,4.0,0.9999923756516436,116983.75,1.001560341472583,410.0,1573020.0,1507426.0,65594.0,0.958300593762317,9.533885112923016,131084.0,130996.0,0.0006713252570870187,53709.118668,204.65243711818377,8.061475365194447,131086.0,4126.0,60869.75,1285.0,36.0,10233301.0,152.0,0.0,2645231745.0,628.547546
pointer,pred_none,4,192,none,32KiB,4,None,None,256KiB,8,None,None,0.155842,6.416746,0.004212,16249631.0,13457194.0,262381.0,10.0,3.81125157690534e-05,524622.0,2.0,0.999996187731357,,1.0006020586642026,200.0,1573032.0,1507445.0,65587.0,0.9583053618743929,7.584692865356381,131081.0,131016.0,0.0004958765953876343,53867.678329,157.92661026388262,8.062706162373779,131081.0,4125.0,46250.0,1361.0,37.0,10244628.0,156.0,0.0,2646367380.0,628.277177
pointer,pred_perceptron,4,192,perceptron,32KiB,4,None,None,256KiB,8,None,None,0.155863,6.41587,0.004212,16249631.0,13455357.0,262426.0,19.0,7.24013626698574e-05,524672.0,16.0,0.9999695047572579,77271.875,1.0054675458895528,384.0,1573043.0,1507438.0,65605.0,0.95829421064777,8.477504575766424,131103.0,131069.0,0.00025933807769462636,53729.528516,179.2917648102637,8.065967774899011,131104.0,4127.0,52917.4,1558.0,43.0,10242458.0,184.0,0.0,2648040765.0,628.760288
pointer,pred_tage,4,192,tage,32KiB,4,None,None,256KiB,8,None,None,0.155907,6.414089,0.00421,16249631.0,13451622.0,262371.0,15.0,5.717095258241193e-05,524673.0,7.0,0.9999866583567288,59067.571429,1.0024808802112453,239.0,1573033.0,1507459.0,65574.0,0.9583136526697151,8.751581425832885,131086.0,131056.0,0.00022885739133082783,53690.588794,185.95012329615673,8.065167756732444,131087.0,4126.0,54997.0,1453.0,39.0,10239291.0,166.0,0.0,2648318640.0,629.000868
pointer,pw_12,12,192,tournament,32KiB,4,None,None,256KiB,8,None,None,0.155875,6.415397,0.004211,16249631.0,13454365.0,262440.0,10.0,3.8103947568968146e-05,524699.0,5.0,0.9999904707270264,53773.4,1.0020666481641605,219.0,1573022.0,1507450.0,65572.0,0.9583146325989084,10.040457572211684,131082.0,131030.0,0.00039669824995036684,53742.047356,216.873645018538,8.063567720399313,131082.0,4126.0,64673.67,1359.0,34.0,10241750.0,165.0,0.0,2651656305.0,629.665197
pointer,pw_8,8,192,tournament,32KiB,4,None,None,256KiB,8,None,None,0.155718,6.421861,0.004215,16249631.0,13467921.0,262434.0,11.0,4.1915300608915006e-05,524701.0,6.0,0.9999885649160188,64321.5,1.0021834584765446,222.0,1573045.0,1507459.0,65586.0,0.9583063421580438,8.961145784601257,131084.0,131063.0,0.00016020261816851455,53767.519361,190.9438076836227,8.065598535745211,131085.0,4125.0,56554.0,1547.0,39.0,10254940.0,184.0,0.0,2650926240.0,628.858226
pointer,rob_128,4,128,tournament,32KiB,4,None,None,256KiB,8,None,None,0.155844,6.41668,0.004212,16249631.0,13457055.0,262353.0,9.0,3.430492504373878e-05,524605.0,3.0,0.9999942814117289,,1.000908853505526,195.0,1573012.0,1507432.0,65580.0,0.9583092818109461,7.6258932410343165,131085.0,131033.0,0.0003966891711485454,53867.244274,158.92969775641757,8.063752339976212,131086.0,4125.0,46559.0,1250.0,36.0,10244698.0,143.0,0.0,2645745495.0,628.136023
